年份,月份,行政區,里數_現有門牌,里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數_合計,人口數_男,人口數_女
112,1,松山區,33,33,765,762,79646,190772,89059,101713
112,1,信義區,41,41,913,910,88154,204414,96825,107589
112,1,大安區,53,53,1026,1021,118317,285933,132941,152992
112,1,中山區,42,42,871,869,99667,213393,98347,115046
112,1,中正區,31,31,583,581,64925,148505,70349,78156
112,1,大同區,25,25,525,523,52399,119123,57386,61737
112,1,萬華區,36,36,721,721,78568,173209,84305,88904
112,1,文山區,43,43,1005,1002,107319,258279,122959,135320
112,1,南港區,20,20,454,454,47872,113920,55224,58696
112,1,內湖區,39,39,916,916,110269,273783,129853,143930
112,1,士林區,51,51,996,995,107108,265462,127643,137819
112,1,北投區,42,42,823,821,98139,241250,115413,125837
